iter,c,m,r,b,status
11,19247.626682,15396.326239,0.936866,1.519589,success
1,19309.065399,15347.569250,2.061265,0.669327,success
2,19388.027716,15321.789189,1.955439,0.812524,success
3,19505.352630,15219.269687,1.855363,0.900614,success
4,19535.349803,15194.225283,1.829435,0.924536,success
5,19536.940797,15192.903408,1.828101,0.925886,success
6,19536.945507,15192.899403,1.828097,0.925890,success
1,19155.016162,15414.437313,1.995388,0.636341,success
2,18997.789884,15580.858753,1.938918,0.710913,success
3,18996.587315,15583.715020,1.917322,0.728552,success
4,18997.119156,15583.304623,1.916308,0.729331,success
5,18997.120369,15583.303666,1.916306,0.729333,success
1,18908.422977,15582.911178,2.074871,0.689318,success
2,18818.275324,15736.822784,1.951195,0.877612,success
3,18942.093034,15632.017888,1.755492,1.049199,success
4,19031.033554,15559.069347,1.642904,1.154445,success
5,19052.783457,15541.666959,1.618895,1.181635,success
6,19053.864783,15540.774052,1.617800,1.183064,success
7,19053.867643,15540.771595,1.617798,1.183068,success
1,18483.142216,15861.071545,2.201282,0.687335,success
2,18482.160692,16018.813407,2.082480,0.889490,success
3,18700.977948,15827.182692,1.765086,1.130218,success
4,18944.196249,15627.950770,1.434576,1.403905,success
5,19159.263934,15464.634111,1.226938,1.645400,success
6,19266.770509,15385.359751,1.148799,1.776563,success
7,19286.507363,15370.404910,1.135886,1.804981,success
8,19287.200526,15369.846462,1.135456,1.806083,success
9,19287.201532,15369.845613,1.135455,1.806084,success
