iter,c,m,r,b,status
8,10248.230631,9066.463471,1.411478,1.486791,success
1,10171.705085,9015.301195,2.262418,0.690013,success
2,10031.715957,9258.746311,2.281159,0.886825,success
3,10051.451796,9245.785993,2.127893,1.105187,success
4,10123.726838,9177.524880,1.843068,1.366517,success
5,10190.984051,9116.678649,1.554345,1.657146,success
6,10240.567778,9073.674542,1.372242,1.904797,success
7,10263.260904,9054.122932,1.303566,2.032541,success
8,10267.420995,9050.441640,1.292634,2.058039,success
9,10267.564844,9050.309744,1.292310,2.058900,success
10,10267.565021,9050.309578,1.292309,2.058901,success
